SBS1,SBS2,SBS5,SBS13,SBS15,SBS17b,SBS40,SBS44
75,0,107,0,0,0,0,0
57,0,22,0,0,0,66,0
77,0,104,0,0,0,0,0
90,0,31,0,0,13,122,0
57,0,71,0,0,0,0,0
1104,0,629,0,0,0,0,805
54,0,66,0,0,0,0,0
85,0,28,0,0,0,76,0
44,0,8,0,0,0,43,0
83,0,4,0,0,0,104,0
86,0,17,0,0,0,44,0
79,0,122,0,0,0,0,0
11,0,18,0,0,0,0,0
73,0,77,0,0,0,0,0
25,0,46,0,0,0,0,0
934,0,542,0,0,0,0,1135
65,0,101,0,0,0,0,0
379,0,531,0,0,0,0,575
93,11,30,3,0,0,118,0
67,0,1,0,31,0,120,0
101,0,154,0,0,0,0,0
94,0,27,0,0,0,46,0
64,0,0,0,0,0,100,0
124,0,197,0,0,0,0,0
68,0,106,0,0,0,0,0
611,0,225,0,0,0,0,785
42,0,11,0,0,0,43,0
36,0,0,0,0,0,44,0
660,0,845,0,0,0,0,739
71,0,1,0,0,0,59,0
31,0,41,0,0,0,0,0
69,0,46,0,0,0,52,0
64,0,32,0,0,0,35,0
37,0,79,0,0,0,0,0
42,0,73,0,0,0,0,0
89,0,6,0,0,0,75,0
38,5,38,4,0,0,37,0
38,0,36,0,0,0,36,0
630,0,426,0,0,0,0,348
186,0,66,0,0,0,0,0
428,0,532,0,0,0,0,533
1420,0,317,0,0,0,0,765
61,0,11,0,0,0,120,0
40,0,6,0,0,0,103,0
692,0,858,0,355,0,0,793
68,0,51,0,0,0,42,0
118,0,125,0,0,0,0,0
106,0,107,0,0,0,0,0
261,0,847,0,0,0,0,0
43,5,70,16,0,0,0,0
11,0,2,0,0,0,0,0
13,0,14,0,0,0,0,0
20,0,11,0,0,0,0,0
9,0,7,0,8,0,0,0
14,0,0,0,0,0,15,0
11,2,8,0,0,0,0,0
17,0,6,0,0,0,0,0
21,0,14,0,0,0,0,0
12,0,10,0,0,0,0,0
56,0,20,0,0,0,38,0
8,0,1,0,7,0,11,0
10,0,12,0,0,3,0,0
22,0,12,0,0,0,0,0
9,1,2,1,0,2,0,0
14,0,20,0,0,0,0,0
16,0,11,0,0,0,0,0
7,0,4,0,13,0,0,0
14,0,7,0,0,0,0,0
10,0,15,0,0,0,0,0
12,0,9,0,0,0,0,0
49,0,59,0,0,0,0,0
88,0,45,0,0,0,45,0
334,0,903,0,0,0,0,844
12,0,63,0,27,0,0,0
48,0,0,0,0,0,44,0
67,0,10,0,0,0,54,0
36,7,47,0,0,0,0,0
43,0,0,0,0,0,48,0
70,0,78,0,0,0,0,0
74,0,0,0,0,0,66,0
64,15,46,4,0,0,54,0
32,0,12,0,0,0,45,0
31,0,52,0,0,0,0,0
58,0,0,0,0,0,151,0
105,0,32,0,0,0,76,0
50,0,20,0,0,0,45,0
38,32,0,49,0,0,78,0
280,0,538,0,405,0,0,0
226,0,1261,0,515,0,0,645
671,0,925,0,0,0,0,951
51,0,113,0,0,0,0,0
76,0,0,0,0,0,81,0
346,0,572,0,0,0,0,241
76,0,9,0,0,0,118,0
27,31,9,5,0,0,189,0
305,0,446,0,301,0,0,0
58,0,96,0,0,0,0,0
267,0,113,0,0,0,0,388
76,0,102,0,0,0,0,0
50,0,0,0,0,0,55,0
52,8,73,0,0,0,0,0
38,0,0,0,0,0,125,0
338,0,454,0,0,0,0,377
59,0,5,0,0,0,81,0
84,0,47,0,0,0,52,0
64,0,29,0,0,0,52,0
59,0,78,0,0,0,0,0
68,14,35,1,0,0,83,0
84,0,0,0,0,0,120,0
114,0,0,0,0,0,113,0
34,0,47,0,0,0,0,0
45,0,12,0,0,0,36,0
87,0,29,0,0,0,67,0
38,0,68,0,0,20,0,0
2058,0,46,0,0,0,0,1577
70,0,0,0,0,0,74,0
49,10,0,0,0,4,0,0
57,0,99,0,0,0,0,0
674,0,607,0,0,0,0,0
479,0,1234,0,682,0,0,0
133,0,587,0,904,0,0,0
38,0,64,0,0,0,0,90
39,0,26,0,0,0,56,0
41,4,11,15,0,0,76,0
280,0,699,0,215,0,0,0
70,0,0,0,0,0,103,0
38,7,64,11,0,0,0,0
33,0,88,0,0,0,0,0
47,9,128,0,0,13,0,0
53,0,22,0,0,0,52,0
51,0,38,0,0,0,94,0
50,0,23,0,0,0,49,0
62,0,0,0,0,0,102,0
65,0,1892,0,979,0,0,0
61,0,75,0,0,0,0,0
72,0,8,0,0,0,77,0
37,6,15,4,0,0,33,0
4,0,5,0,8,0,0,0
266,0,3004,0,1422,0,0,0
26,16,30,6,0,0,0,0
41,0,13,0,0,0,52,0
57,0,84,0,0,0,0,0
412,0,295,0,0,0,0,403
1380,0,426,0,0,0,0,736
57,0,62,0,0,0,0,0
719,0,447,0,292,0,0,477
46,12,25,2,0,0,33,0
