Sig1,Sig2,bws,T,T1,T2,T3,T4,p,p1,p2,p3,p4
SBS1,SBS2,0.03522127,0.027930626,2.30E-08,0.00346511,1.20E-07,0.024465372,0.001299957,0.470517649,0.002499917,0.462784574,0.001266624
SBS1,SBS5,0.062125098,0.175033137,3.05E-06,0.00253793,3.92E-06,0.17248824,3.33E-05,0.032565581,0.004733176,0.60881304,3.33E-05
SBS1,SBS13,0.03522127,0.022045584,1.51E-08,0.003330511,8.37E-08,0.018714973,0.001866604,0.467984401,0.000699977,0.458718043,0.002299923
SBS1,SBS15,0.04219079,0.052924874,3.25E-08,0.017778701,6.21E-08,0.035146078,3.33E-05,0.472184261,3.33E-05,0.486550448,3.33E-05
SBS1,SBS17b,0.03522127,0.012452797,1.22E-08,0.001839053,5.19E-08,0.01061368,0.019566014,0.469884337,0.013332889,0.466284457,0.022599247
SBS1,SBS40,0.03522127,0.17884351,8.50E-07,0.011988025,1.88E-06,0.166852754,3.33E-05,0.412019599,0.001099963,0.536615446,3.33E-05
SBS1,SBS44,0.03522127,0.029497553,3.55E-08,0.005546392,1.13E-07,0.023951012,0.00029999,0.471750942,1.00E-04,0.476650778,0.00059998
SBS2,SBS5,0.062125098,0.002871831,3.92E-05,0.000236066,0.000451927,0.002144633,0.2909903,0.124629179,0.063497883,0.346855105,0.325922469
SBS2,SBS13,0.020025347,0.192567847,0.002717709,0.01960389,0.018900751,0.151345497,3.33E-05,3.33E-05,3.33E-05,3.33E-05,3.33E-05
SBS2,SBS15,0.04219079,0.000734352,4.45E-05,0.000207953,8.50E-05,0.000396944,0.382287257,0.044465184,0.077164095,0.340855305,0.612279591
SBS2,SBS17b,0.020025347,0.015245005,0.000146426,0.001150636,0.001441639,0.012506304,0.00059998,0.000199993,0.001066631,0.000133329,0.000966634
SBS2,SBS40,0.034609136,0.005253901,2.98E-06,0.000137465,0.000494344,0.004619115,0.307956401,0.766874438,0.62561248,0.348688377,0.269291024
SBS2,SBS44,0.022804182,0.001615289,4.86E-05,0.000322957,0.000162798,0.001080892,0.598346722,0.039332022,0.096563448,0.323855871,0.745341822
SBS5,SBS13,0.062125098,0.002599629,4.01E-05,0.000333069,0.000265385,0.001961042,0.229259025,0.085030499,0.40348655,0.029865671,0.253024899
SBS5,SBS15,0.062125098,0.007946333,3.83E-05,0.002229491,0.000168243,0.005510312,0.003499883,0.157828072,0.001933269,0.126395787,0.006933102
SBS5,SBS17b,0.062125098,0.001905363,1.21E-05,0.000232131,3.24E-05,0.001628742,0.362454585,0.327522416,0.557748075,0.541148628,0.304623179
SBS5,SBS40,0.062125098,0.548424899,0.005027884,0.132974461,0.022254108,0.388168447,3.33E-05,3.33E-05,3.33E-05,3.33E-05,3.33E-05
SBS5,SBS44,0.062125098,0.036968555,0.000164296,0.0090888,0.000453544,0.027261916,3.33E-05,0.005133162,3.33E-05,0.010966301,3.33E-05
SBS13,SBS15,0.04219079,0.000422863,1.15E-05,5.33E-05,5.44E-05,0.00030367,0.581113963,0.269624346,0.398553382,0.470750975,0.619412686
SBS13,SBS17b,0.017133521,0.007665021,4.63E-05,0.000590392,0.000454987,0.006573371,0.017132762,0.008899703,0.009566348,0.016032799,0.019366021
SBS13,SBS40,0.034609136,0.004231565,7.31E-06,0.000354146,0.000330946,0.003539159,0.318822706,0.607346422,0.210926302,0.477984067,0.315956135
SBS13,SBS44,0.022804182,0.001074801,3.20E-05,0.000215281,0.000107026,0.000720516,0.741208626,0.063231226,0.151294957,0.457284757,0.854338189
SBS15,SBS17b,0.04219079,0.000297356,8.09E-06,4.19E-05,2.89E-05,0.000218417,0.735642145,0.324055865,0.545715143,0.620379321,0.748041732
SBS15,SBS40,0.04219079,0.009279306,0.000499485,0.001589289,0.001838299,0.005352232,0.008033066,0.000366654,0.000333322,0.002533249,0.063097897
SBS15,SBS44,0.04219079,0.00368864,3.45E-05,0.000467326,0.000436908,0.002749877,0.005766474,0.11189627,0.006099797,0.012066264,0.00539982
SBS17b,SBS40,0.034609136,0.003248838,3.63E-07,0.00031537,0.000205589,0.002727516,0.465184494,0.90640312,0.218459385,0.700643312,0.457684744
SBS17b,SBS44,0.022804182,0.000668121,2.59E-05,0.0001278,8.67E-05,0.000427728,0.890670311,0.0779974,0.293723543,0.508549715,0.93790207
SBS40,SBS44,0.034609136,0.024177312,0.001798759,0.003985387,0.005719923,0.012673243,6.67E-05,3.33E-05,6.67E-05,3.33E-05,0.002666578
