Sig1,Sig2,bws,T,T1,T2,T3,T4,p,p1,p2,p3,p4
SBS1,SBS2,0.035781621,0.213658619,9.17E-06,0.023960389,4.35E-05,0.189645572,3.33E-05,0.32758908,6.67E-05,0.569181027,3.33E-05
SBS1,SBS5,0.059417453,0.051700646,6.22E-05,0.000945271,0.000152014,0.050541179,0.004299857,0.002566581,0.189793674,0.390520316,0.004433186
SBS1,SBS13,0.035781621,0.225481457,3.94E-06,0.036765143,1.81E-05,0.1886943,3.33E-05,0.499650012,3.33E-05,0.79030699,6.67E-05
SBS1,SBS15,0.069568277,0.009654681,0.000209419,0.000908839,0.000430169,0.008106254,0.082330589,3.33E-05,0.26879104,0.000433319,0.080663978
SBS1,SBS17a,0.035781621,0.248378375,3.34E-06,0.043884663,0.000125113,0.204365256,3.33E-05,0.572714243,3.33E-05,0.269624346,3.33E-05
SBS1,SBS17b,0.035781621,0.237085899,8.54E-06,0.051297179,0.000117547,0.18566263,3.33E-05,0.386487117,3.33E-05,0.387253758,3.33E-05
SBS1,SBS20,0.035781621,0.037790109,8.04E-06,0.004487355,3.90E-05,0.033255739,0.015999467,0.224292524,0.02639912,0.40018666,0.015332822
SBS1,SBS40,0.042806299,0.03013221,3.44E-05,0.001385154,0.000157027,0.028555637,0.411986267,0.087263758,0.738275391,0.229625679,0.358454718
SBS2,SBS5,0.059417453,0.032882227,8.18E-05,0.000472262,0.005927942,0.026400261,0.003766541,0.179994,0.135528816,0.00389987,0.00419986
SBS2,SBS13,0.014207586,2.093854512,0.021711972,0.190728628,0.163995747,1.717418165,3.33E-05,3.33E-05,3.33E-05,3.33E-05,3.33E-05
SBS2,SBS15,0.069568277,0.017266176,0.000988636,0.004029878,0.002606787,0.009640874,0.003399887,6.67E-05,0.00029999,0.000999967,0.007833072
SBS2,SBS17a,0.016725742,0.120731398,0.000160316,0.00633524,0.005003865,0.109231977,0.028532382,0.232658911,0.041531949,0.093063565,0.029532349
SBS2,SBS17b,0.032058671,0.060385752,0.00030364,0.006185418,0.003799706,0.050096989,0.005166494,0.110229659,0.007699743,0.042865238,0.00509983
SBS2,SBS20,0.014887635,0.104192912,0.001358144,0.01105426,0.009745821,0.082034687,0.003466551,3.33E-05,0.000166661,0.000133329,0.007766408
SBS2,SBS40,0.042806299,0.027831576,0.00082191,0.004417871,0.002612435,0.01997936,0.015166161,0.009066364,0.012232926,0.053798207,0.024832506
SBS5,SBS13,0.059417453,0.019475921,0.000121848,0.003617952,0.000462179,0.015273942,0.031432286,0.083130562,0.027632412,0.11069631,0.036165461
SBS5,SBS15,0.069568277,0.05345086,1.03E-05,0.012093775,0.000462532,0.040884297,3.33E-05,0.558914703,3.33E-05,0.034732176,3.33E-05
SBS5,SBS17a,0.059417453,0.021018545,6.98E-05,0.001983099,0.000195153,0.018770538,0.071930936,0.245591814,0.338822039,0.466017799,0.048365054
SBS5,SBS17b,0.059417453,0.047510011,8.30E-05,0.002785199,0.000273968,0.04436784,0.000366654,0.21839272,0.189160361,0.452184927,1.00E-04
SBS5,SBS20,0.059417453,0.125290023,0.000153616,0.025566613,0.000778488,0.098791305,3.33E-05,0.019599347,3.33E-05,0.010932969,3.33E-05
SBS5,SBS40,0.059417453,0.515488275,0.002849054,0.156791796,0.007732018,0.348115407,3.33E-05,3.33E-05,3.33E-05,3.33E-05,3.33E-05
SBS13,SBS15,0.069568277,0.008942547,0.000557282,0.001890244,0.00148481,0.005010212,0.012832906,0.002166594,0.004333189,0.006199793,0.024165861
SBS13,SBS17a,0.016725742,0.06196673,0.000112427,0.00319694,0.002875776,0.055781587,0.205359821,0.280323989,0.153261558,0.238858705,0.214326189
SBS13,SBS17b,0.032058671,0.034125394,0.000247942,0.002384801,0.002404682,0.029087969,0.036398787,0.12089597,0.084330522,0.111429619,0.032232259
SBS13,SBS20,0.014887635,0.060638105,0.000864891,0.005895268,0.006426131,0.047451814,0.020332656,0.000133329,0.002499917,0.000833306,0.041831939
SBS13,SBS40,0.042806299,0.013244998,0.000537207,0.002664895,0.001497081,0.008545815,0.174960835,0.022732576,0.032065598,0.197960068,0.312256258
SBS15,SBS17a,0.069568277,0.015197939,0.001133179,0.002534409,0.003559201,0.007971151,0.00539982,0.000199993,0.001733276,0.000833306,0.014799507
SBS15,SBS17b,0.069568277,0.01954909,0.001753233,0.004010579,0.004226032,0.009559245,0.001133296,6.67E-05,0.000233326,0.000133329,0.008766374
SBS15,SBS20,0.069568277,0.058192574,0.002357774,0.009682714,0.00911112,0.037040967,3.33E-05,3.33E-05,3.33E-05,3.33E-05,6.67E-05
